"filename", "language", "Java", "XML", "comment", "blank", "total"
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\pom.xml", "XML", 0, 90, 18, 23, 131
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\annotation\Anonymous.java", "Java", 12, 0, 5, 3, 20
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\annotation\DataScope.java", "Java", 15, 0, 14, 5, 34
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\annotation\DataSource.java", "Java", 16, 0, 10, 3, 29
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\annotation\Excel.java", "Java", 67, 0, 86, 34, 187
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\annotation\Excels.java", "Java", 11, 0, 5, 3, 19
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\annotation\Log.java", "Java", 20, 0, 24, 8, 52
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\annotation\RateLimiter.java", "Java", 18, 0, 17, 6, 41
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\annotation\RepeatSubmit.java", "Java", 16, 0, 12, 4, 32
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\config\RuoYiConfig.java", "Java", 85, 0, 24, 27, 136
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\constant\CacheConstants.java", "Java", 11, 0, 26, 8, 45
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\constant\Constants.java", "Java", 32, 0, 83, 28, 143
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\constant\GenConstants.java", "Java", 42, 0, 40, 36, 118
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\constant\HttpStatus.java", "Java", 21, 0, 56, 18, 95
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\constant\ScheduleConstants.java", "Java", 24, 0, 16, 11, 51
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\constant\UserConstants.java", "Java", 27, 0, 31, 21, 79
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\controller\BaseController.java", "Java", 116, 0, 66, 21, 203
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\domain\AjaxResult.java", "Java", 74, 0, 92, 20, 186
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\domain\BaseEntity.java", "Java", 83, 0, 12, 24, 119
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\domain\R.java", "Java", 84, 0, 7, 25, 116
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\domain\TreeEntity.java", "Java", 52, 0, 10, 18, 80
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\domain\TreeSelect.java", "Java", 54, 0, 8, 16, 78
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\domain\entity\SysDept.java", "Java", 147, 0, 17, 40, 204
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\domain\entity\SysDictData.java", "Java", 131, 0, 14, 32, 177
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\domain\entity\SysDictType.java", "Java", 72, 0, 9, 16, 97
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\domain\entity\SysMenu.java", "Java", 187, 0, 21, 52, 260
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\domain\entity\SysRole.java", "Java", 176, 0, 18, 48, 242
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\domain\entity\SysUser.java", "Java", 239, 0, 23, 63, 325
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\domain\model\LoginBody.java", "Java", 40, 0, 17, 13, 70
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\domain\model\LoginUser.java", "Java", 165, 0, 56, 46, 267
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\domain\model\RegisterBody.java", "Java", 4, 0, 5, 3, 12
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\page\PageDomain.java", "Java", 73, 0, 11, 18, 102
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\page\TableDataInfo.java", "Java", 51, 0, 18, 17, 86
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\page\TableSupport.java", "Java", 25, 0, 23, 9, 57
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\redis\RedisCache.java", "Java", 111, 0, 135, 23, 269
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\text\CharsetKit.java", "Java", 41, 0, 36, 10, 87
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\text\Convert.java", "Java", 591, 0, 353, 57, 1001
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\core\text\StrFormatter.java", "Java", 63, 0, 23, 7, 93
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\enums\BusinessStatus.java", "Java", 6, 0, 12, 3, 21
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\enums\BusinessType.java", "Java", 14, 0, 35, 11, 60
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\enums\DataSourceType.java", "Java", 6, 0, 11, 3, 20
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\enums\HttpMethod.java", "Java", 25, 0, 5, 7, 37
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\enums\LimitType.java", "Java", 6, 0, 11, 4, 21
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\enums\OperatorType.java", "Java", 7, 0, 14, 4, 25
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\enums\UserStatus.java", "Java", 20, 0, 5, 6, 31
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\exception\DemoModeException.java", "Java", 8, 0, 5, 3, 16
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\exception\GlobalException.java", "Java", 33, 0, 16, 9, 58
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\exception\ServiceException.java", "Java", 43, 0, 19, 12, 74
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\exception\UtilException.java", "Java", 17, 0, 5, 5, 27
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\exception\base\BaseException.java", "Java", 64, 0, 17, 17, 98
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\exception\file\FileException.java", "Java", 10, 0, 5, 5, 20
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\exception\file\FileNameLengthLimitExceededException.java", "Java", 9, 0, 5, 3, 17
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\exception\file\FileSizeLimitExceededException.java", "Java", 9, 0, 5, 3, 17
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\exception\file\FileUploadException.java", "Java", 46, 0, 5, 11, 62
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\exception\file\InvalidExtensionException.java", "Java", 60, 0, 5, 16, 81
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\exception\job\TaskException.java", "Java", 23, 0, 5, 6, 34
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\exception\user\BlackListException.java", "Java", 9, 0, 5, 3, 17
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\exception\user\CaptchaException.java", "Java", 9, 0, 5, 3, 17
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\exception\user\CaptchaExpireException.java", "Java", 9, 0, 5, 3, 17
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\exception\user\UserException.java", "Java", 10, 0, 5, 4, 19
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\exception\user\UserNotExistsException.java", "Java", 9, 0, 5, 3, 17
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\exception\user\UserPasswordNotMatchException.java", "Java", 9, 0, 5, 3, 17
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\exception\user\UserPasswordRetryLimitExceedException.java", "Java", 9, 0, 5, 3, 17
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-common\src\main\java\com\ruoyi\common\filter\PropertyPreExcludeFilter.java", "Java", 16, 0, 5, 4, 25
