"filename", "language", "Vue", "comment", "blank", "total"
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-ui\src\views\system\config\index.vue", "Vue", -311, -26, -7, -344
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-ui\src\views\system\dept\index.vue", "Vue", -312, -23, -6, -341
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-ui\src\views\system\dict\data.vue", "Vue", -366, -30, -6, -402
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-ui\src\views\system\dict\index.vue", "Vue", -315, -26, -6, -347
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-ui\src\views\system\menu\index.vue", "Vue", -422, -25, -6, -453
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-ui\src\views\system\notice\index.vue", "Vue", -283, -23, -7, -313
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-ui\src\views\system\post\index.vue", "Vue", -279, -24, -7, -310
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-ui\src\views\system\role\authUser.vue", "Vue", -179, -15, -5, -199
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-ui\src\views\system\role\index.vue", "Vue", -549, -49, -7, -605
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-ui\src\views\system\role\selectUser.vue", "Vue", -124, -13, -2, -139
"Total", "-", -3140, -254, -59, -3453
